item_id,knowledge_code
1708,"[284]"
1713,"[266]"
1715,"[225]"
1717,"[110]"
1718,"[232]"
1719,"[78]"
1720,"[78]"
1721,"[1, 1]"
1723,"[79]"
1724,"[88]"
1725,"[78]"
1727,"[168]"
1732,"[40]"
1733,"[158]"
1735,"[155]"
1739,"[18]"
1740,"[18]"
1742,"[118]"
1743,"[40]"
1744,"[55]"
1747,"[246]"
1748,"[168]"
1752,"[1]"
1753,"[78]"
1754,"[18]"
1755,"[19]"
1756,"[1]"
1757,"[2, 3, 4, 5, 3, 6, 7, 71]"
1759,"[55]"
1761,"[251]"
1766,"[150]"
1771,"[15]"
1774,"[40]"
1775,"[8, 9, 10, 11, 8]"
1776,"[158]"
1779,"[225]"
1780,"[55]"
1782,"[1]"
1784,"[263]"
1785,"[40]"
1786,"[158]"
1791,"[193]"
1794,"[193]"
1795,"[1]"
1798,"[248]"
1799,"[227]"
1803,"[165]"
1805,"[277]"
1806,"[232]"
1808,"[44]"
1809,"[165]"
1810,"[64]"
1811,"[142]"
1812,"[173]"
1813,"[78]"
1814,"[190]"
1816,"[307]"
1818,"[80]"
1820,"[44]"
1821,"[172]"
1822,"[55]"
1826,"[78]"
1828,"[78]"
1830,"[168]"
1832,"[1]"
1836,"[142]"
1837,"[252]"
1839,"[19]"
1840,"[80]"
1841,"[80]"
1842,"[266]"
1843,"[271]"
1847,"[158]"
1848,"[55]"
1849,"[252]"
1850,"[79]"
1851,"[88]"
1854,"[232]"
1855,"[1]"
1860,"[221]"
1861,"[47]"
1862,"[273]"
1863,"[191]"
1864,"[42]"
1866,"[80]"
1867,"[226]"
1869,"[241]"
1871,"[55]"
1872,"[55]"
1875,"[46]"
1876,"[88]"
1878,"[78]"
1880,"[172]"
1882,"[12, 13, 168]"
1884,"[279]"
1886,"[210]"
1889,"[221]"
1890,"[172]"
1892,"[168]"
1894,"[118]"
1895,"[32]"
1897,"[80]"
1899,"[132]"
1900,"[364]"
1901,"[221]"
1902,"[40]"
1904,"[1]"
1905,"[250]"
1906,"[70]"
1910,"[237]"
1912,"[225]"
1915,"[19]"
1917,"[166]"
1918,"[55]"
1920,"[78]"
1921,"[191]"
1922,"[15, 15]"
1925,"[79]"
1926,"[40]"
1928,"[110]"
1929,"[1]"
1931,"[221]"
1933,"[45]"
1934,"[88]"
1936,"[158]"
1942,"[88]"
1943,"[227]"
1944,"[338]"
1948,"[19, 19, 19, 19, 19]"
1949,"[158]"
1950,"[20, 7, 21, 22, 23, 24, 6, 2, 71]"
1951,"[80]"
1954,"[145]"
1955,"[284]"
1956,"[263]"
1957,"[221]"
1958,"[168]"
1959,"[263]"
1960,"[158]"
1961,"[158]"
1962,"[158]"
1964,"[78]"
1966,"[118]"
1973,"[55]"
1975,"[193]"
1976,"[54]"
1977,"[47]"
1981,"[298]"
1983,"[208]"
1985,"[40]"
1986,"[110]"
1987,"[96]"
1989,"[193]"
1990,"[25, 25, 25, 25]"
1993,"[266]"
1994,"[266]"
1995,"[338]"
1997,"[80]"
2000,"[155]"
2001,"[15]"
2002,"[166]"
2003,"[80]"
2004,"[251]"
2010,"[27, 28, 29, 30, 27]"
2011,"[18]"
2013,"[110]"
2015,"[221]"
2020,"[173]"
2021,"[70]"
2024,"[225]"
2025,"[168]"
2027,"[251]"
2030,"[79]"
2031,"[233]"
2033,"[19]"
2037,"[45]"
2038,"[142]"
2039,"[251]"
2042,"[252]"
2043,"[44]"
2044,"[110]"
2048,"[266]"
2049,"[64]"
2050,"[19]"
2051,"[338]"
2053,"[191]"
2055,"[232]"
2059,"[78]"
2063,"[31, 87]"
2064,"[225]"
2065,"[55]"
2066,"[55]"
2068,"[158]"
2069,"[19]"
2071,"[266]"
2072,"[40]"
2073,"[246]"
2078,"[159]"
2079,"[232]"
2080,"[266]"
2083,"[55]"
2085,"[237]"
2090,"[19]"
2097,"[271]"
2100,"[208]"
2101,"[1]"
2102,"[237]"
2105,"[224]"
2106,"[225]"
2107,"[218]"
2108,"[1]"
2109,"[261]"
2110,"[118]"
2111,"[246]"
2112,"[252]"
2114,"[145]"
2115,"[88]"
2116,"[208]"
2119,"[44]"
2120,"[55]"
2122,"[78]"
2123,"[165]"
2124,"[55]"
2129,"[18]"
2130,"[1]"
2131,"[208]"
2133,"[250]"
2135,"[266]"
2137,"[221]"
2138,"[338]"
2140,"[165]"
2141,"[78]"
2142,"[266]"
2144,"[233]"
2145,"[32, 32]"
2146,"[19]"
2148,"[55]"
2149,"[168]"
2150,"[219]"
2151,"[83]"
2152,"[271]"
2153,"[158]"
2157,"[110]"
2158,"[147]"
2159,"[14, 14, 277]"
2160,"[298]"
2161,"[266]"
2162,"[18]"
2168,"[88]"
2169,"[279]"
2171,"[88]"
2173,"[168]"
2175,"[110]"
2178,"[49]"
2180,"[246]"
2181,"[79]"
2182,"[168]"
2188,"[1]"
2189,"[79]"
2192,"[263]"
2197,"[1]"
2201,"[193]"
2203,"[221]"
2205,"[78]"
2207,"[49]"
2210,"[221]"
2211,"[277]"
2213,"[219]"
2214,"[84]"
2215,"[88]"
2216,"[1]"
2217,"[134]"
2219,"[134]"
2220,"[78]"
2221,"[266]"
2229,"[165]"
2230,"[40, 40, 40]"
2234,"[221]"
2237,"[1]"
2238,"[219]"
2239,"[132]"
2245,"[221]"
2246,"[159]"
2247,"[55]"
2248,"[172]"
2249,"[134]"
2250,"[225]"
2251,"[190]"
2257,"[168]"
2259,"[266]"
2262,"[54]"
2264,"[19]"
2265,"[47]"
2266,"[269]"
2268,"[54]"
2272,"[252]"
2273,"[44]"
2275,"[186]"
2276,"[1]"
2277,"[42, 42, 43, 55]"
2278,"[139]"
2279,"[352]"
2289,"[158]"
2290,"[208]"
2291,"[168]"
2294,"[134]"
2296,"[87]"
2297,"[227]"
2298,"[40]"
2299,"[55]"
2300,"[87]"
2303,"[88]"
2304,"[87]"
2305,"[266]"
2307,"[227]"
2309,"[220]"
2310,"[44, 44]"
2311,"[306]"
2312,"[45, 45]"
2316,"[263]"
2319,"[219]"
2320,"[44]"
2322,"[165]"
2324,"[55]"
2326,"[168]"
2328,"[49]"
2329,"[168]"
2331,"[55]"
2334,"[168]"
2335,"[19]"
2336,"[277]"
2337,"[168]"
2339,"[19]"
2340,"[326]"
2342,"[173]"
2347,"[266]"
2349,"[170]"
2351,"[78]"
2352,"[266]"
2353,"[224]"
2359,"[44]"
2361,"[170]"
2362,"[134]"
2364,"[44]"
2365,"[165]"
2366,"[266]"
2367,"[186]"
2368,"[42]"
2370,"[221]"
2371,"[1]"
2372,"[80]"
2374,"[80]"
2375,"[338]"
2376,"[49]"
2377,"[172]"
2379,"[225]"
2382,"[44]"
2385,"[140]"
2386,"[364]"
2388,"[246]"
2390,"[139]"
2392,"[271]"
2394,"[170]"
2395,"[168]"
2396,"[150]"
2397,"[32]"
2399,"[1]"
2402,"[18]"
2406,"[226]"
2409,"[248]"
2412,"[19]"
2414,"[142]"
2416,"[168]"
2417,"[248]"
2420,"[18]"
2421,"[69]"
2422,"[44]"
2424,"[266]"
2428,"[49, 49]"
2429,"[273]"
2430,"[273]"
2435,"[166]"
2436,"[64]"
2437,"[266]"
2438,"[233]"
2439,"[219]"
2442,"[50, 51, 52, 53, 183]"
2443,"[79]"
2444,"[19]"
2445,"[55]"
2446,"[252]"
2448,"[47]"
2450,"[194]"
2451,"[80]"
2453,"[19]"
2454,"[263]"
2455,"[237]"
2456,"[47]"
2457,"[246]"
2458,"[158]"
2462,"[1]"
2463,"[263]"
2464,"[284]"
2466,"[45]"
2468,"[71]"
2470,"[47]"
2471,"[173]"
2473,"[80]"
2474,"[47]"
2476,"[109]"
2479,"[227]"
2481,"[220]"
2482,"[168]"
2484,"[69]"
2485,"[221]"
2490,"[15]"
2492,"[84]"
2498,"[219]"
2499,"[230]"
2500,"[80]"
2502,"[19]"
2503,"[168]"
