item_id,knowledge_code
1,[284]
2,[266]
3,[225]
4,[110]
5,[232]
6,[78]
7,[78]
8,"[1, 1]"
9,[79]
10,[88]
11,[78]
12,[168]
13,[40]
14,[158]
15,[155]
16,[18]
17,[18]
18,[118]
19,[40]
20,[55]
21,[246]
22,[168]
23,[1]
24,[78]
25,[18]
26,[19]
27,[1]
28,"[2, 3, 4, 5, 3, 6, 7, 71]"
29,[55]
30,[251]
31,[150]
32,[15]
33,[40]
34,"[8, 9, 10, 11, 8]"
35,[158]
36,[225]
37,[55]
38,[1]
39,[263]
40,[40]
41,[158]
42,[193]
43,[193]
44,[1]
45,[248]
46,[227]
47,[165]
48,[277]
49,[232]
50,[44]
51,[165]
52,[64]
53,[142]
54,[173]
55,[78]
56,[190]
57,[307]
58,[80]
59,[44]
60,[172]
61,[55]
62,[78]
63,[78]
64,[168]
65,[1]
66,[142]
67,[252]
68,[19]
69,[80]
70,[80]
71,[266]
72,[271]
73,[158]
74,[55]
75,[252]
76,[79]
77,[88]
78,[232]
79,[1]
80,[221]
81,[47]
82,[273]
83,[191]
84,[42]
85,[80]
86,[226]
87,[241]
88,[55]
89,[55]
90,[46]
91,[88]
92,[78]
93,[172]
94,"[12, 13, 168]"
95,[279]
96,[210]
97,[221]
98,[172]
99,[168]
100,[118]
101,[32]
102,[80]
103,[132]
104,[364]
105,[221]
106,[40]
107,[1]
108,[250]
109,[70]
110,[237]
111,[225]
112,[19]
113,[166]
114,[55]
115,[78]
116,[191]
117,"[15, 15]"
118,[79]
119,[40]
120,[110]
121,[1]
122,[221]
123,[45]
124,[88]
125,[158]
126,[88]
127,[227]
128,[338]
129,"[19, 19, 19, 19, 19]"
130,[158]
131,"[20, 7, 21, 22, 23, 24, 6, 2, 71]"
132,[80]
133,[145]
134,[284]
135,[263]
136,[221]
137,[168]
138,[263]
139,[158]
140,[158]
141,[158]
142,[78]
143,[118]
144,[55]
145,[193]
146,[54]
147,[47]
148,[298]
149,[208]
150,[40]
151,[110]
152,[96]
153,[193]
154,"[25, 25, 25, 25]"
155,[266]
156,[266]
157,[338]
158,[80]
159,[155]
160,[15]
161,[166]
162,[80]
163,[251]
164,"[27, 28, 29, 30, 27]"
165,[18]
166,[110]
167,[221]
168,[173]
169,[70]
170,[225]
171,[168]
172,[251]
173,[79]
174,[233]
175,[19]
176,[45]
177,[142]
178,[251]
179,[252]
180,[44]
181,[110]
182,[266]
183,[64]
184,[19]
185,[338]
186,[191]
187,[232]
188,[78]
189,"[31, 87]"
190,[225]
191,[55]
