技术与自然的关系    技术与自然
技术设计的一般过程   设计的一般过程
函数、运算综合的表达式 表达式
常见视频文件的格式及播放软件  常见的数据文件格式
视频文件的格式及播放软件    常见的数据文件格式
常见音频文件的格式及播放软件  常见的数据文件格式
影响结构强度的因素   结构与强度
结构的强度   结构与强度
对象  对象及其属性
信息的一般特征 信息的特征
循环语句及其流程图 循环语句
设计图形用户界面（GUI）   设计应用程序的界面
技术与社会的关系    技术与社会
设计的技术规范性原则  设计的技术规范原则
设计的实用原则 设计的实用性原则
影响结构稳定性的因素及应用   结构与稳定性
结构的稳定性  结构与稳定性
数据隐私的保护—个人信息（隐私）的保护方法   个人信息的保护方法
算法的概念及特征    算法的概念与特征
产品使用说明书的作用与一般结构 产品说明书及其作用
设计说明书   产品说明书及其作用
常用内部函数  常用的标准函数
面向对象的程序设计的特征与发展史    面向对象程序设计的特征与发展史
数据库的基本操作——删除、修改等    数据库的基本操作
编辑数据表   数据库的基本操作
一个简单的数据库    数据库的基本操作
威胁数据安全的因素—计算机/手机病毒的概念与特征    计算机病毒的概念与特征
设计问题的来源 问题的来源
数字信号与模拟信号/数字化   数字化的原理和过程
数字信号与模拟信号/数字化原理 数字化的原理和过程
开环控制系统的基本组成和工作过程    开环控制系统
图像编码—图像存储量的计算方法 存储量的计算方法
图像存储量的计算方法  存储量的计算方法
数据表的创建与保存   数据库的基本操作
建立数据库的基本过程和方法   数据库的基本操作
技术与设计的关系    设计与技术的关系
经典结构的赏析 经典结构的案例
正投影及三视图 正投影与三视图
变量  变量和变量的用途
二进制、十进制、十六进制概念及相互转化 数制与数制转换
人工智能对社会发展的影响    人工智能对社会的影响
人工智能的认识与发展  人工智能的发展历程
字符编码（ASCII码与汉字编码）   字符编码
声音编码—音频存储量的计算方法 音频存储量的计算方法
威胁数据安全的因素—计算机/手机病毒的防治常识 计算机病毒的防治
威胁数据安全的因素-黑客及其防范    黑客及其防范
数据压缩技术的作用   数据压缩技术作用及原则
常见的数据文件格式-图形文件格式    图形文件格式
声音编码（包含模数转换器）   声音编码
计算机硬件的工作原理  计算机的工作原理
信息素养(数字公民)  信息素养
计算机的硬件组成    计算机硬件的组成
漏洞及其修复  威胁数据安全的因素-漏洞及其修复
网络系统—网络的组成与构建   网络的组成与构建
网络的分类   计算机网络的分类
网络系统—网络的分类  计算机网络的分类
算法的流程图表示/流程图识读  算法的流程图表示
使用流程图描述算法/流程图识读 算法的流程图表示
顺序查找算法的逻辑及流程图   顺序查找算法的原理及流程图
自然语言描述解决实际问题的算法 使用自然语言描述算法
算法的自然语言表示   使用自然语言描述算法
冒泡排序算法的原理及流程图   冒泡排序算法的逻辑及流程图
对分（二分）查找算法的思想与流程图   对分查找算法的逻辑及流程图
对分查找算法的原理及流程图    对分查找算法的逻辑及流程图
解析算法的原理及流程图    解析算法的逻辑及流程图
枚举算法的原理及流程图 枚举算法的逻辑及流程图
声音数字化   声音编码及存储量计算
程序模块-事件的程序设计    事件处理过程及程序设计
常见的数据文件格式-动画文件格式    多媒体数据形式
常见的数据文件格式-动画文件格式    多媒体数据形式
动画文件格式  多媒体数据形式
文本文件格式  多媒体数据形式
多媒体技术(音频/视频/压缩/网络传输技术)应用 多媒体技术应用
压缩标准MPEG及压缩比计算  数据压缩标准
应用软件开发—网络应用的规划设计    网络应用的规划设计
算法的表示方法 算法的表示方法及优缺点
算法的描述方法及优缺点 算法的表示方法及优缺点
冒泡排序算法及其实现  冒泡排序算法的逻辑及流程图
用浏览器的收藏夹管理网站资源  收藏夹的使用
数据库系统的组成    数据库与数据库系统
数据库的组成要素    数据库与数据库系统
数据库的设计实例    数据库与数据库系统
多媒体作品的需求分析(应用/创作)   多媒体作品的规划与设计
信息的概念   信息的基本概念
信息技术的应用及展望  信息技术的发展趋势
选择排序算法的原理及流程图   选择排序算法的逻辑及流程图
常见的数据文件格式-视频文件格式    视频文件格式
电子表格的常见操作   电子表格的基本操作
常见的数据文件格式-声音文件格式    声音文件格式
对象与类的对比及应用  对象与类的关系
多媒体的开发热点（虚拟现实、多媒体数据库、通信技术）  多媒体技术的发展前景与趋势
数据可视化工具 数据可视化的基本工具
数据可视化工具及典型案例    数据可视化的基本工具
数据、信息与知识的关系    数据、信息、知识的关系
数据、信息与知识的关系 数据、信息、知识、智慧的关系
使用计算机解决问题的一般过程  使用算法解决问题的一般过程
应用软件开发—编写网络应用程序 编写网络应用程序
伪代码描述法解决实际问题的算法 使用伪代码描述算法
算法的伪代码表示    使用伪代码描述算法
信息发布的方式 通过网站发布信息的方式和过程
信息社会的基本内涵   信息社会的基本概念
网页制作的一般过程   网站的设计制作过程
超文本传输协议（HTTP）   超文本传输协议HTTP
数据的分类汇总 数据的分类与汇总
统一资源定位符(URL)    统一资源地址（URL）
Access的构成和数据类型  数据表的构成和数据类型
逻辑运算符与逻辑表达式(python) 逻辑运算符与表达式
数据类型(python)    常见Python数据类型
基本数据类型(python)  常见Python数据类型
数据存储单位  数据存储单位及量级
程序设计语言的发展过程 程序设计语言的产生与发展
数据采集的方法 数据采集的方法和工具
python的常用函数 python常见的系统函数
python的内置函数 python常见的系统函数
python的系统函数 python常见的系统函数
数据可视化的作用    数据可视化的作用及基本方法
信息安全法律法规    信息系统（网络）安全法律法规
函数的构造及应用    函数的定义和调用（自定义函数）
函数的定义和调用    函数的定义和调用（自定义函数）
Python中的列表  列表的概念及使用方法
基本数据结构（字符串/列表/字典）   数据结构
赋值运算符与赋值表达式(python) 赋值运算符
赋值符 赋值运算符
网络传输介质（网络的连接方式） 网络传输介质（网络的接入方式）
解析算法及其程序实现(python语言)    解析算法及其程序实现
数据分析的方法 数据分析的基本方法
无线网络的概念与标准  无线网络的概念及标准
枚举算法及其程序实现(python语言)    枚举算法及其程序实现
查找/递归等其他算法及其程序实现(python语言)  递归算法及其程序实现
多媒体作品界面设计   多媒体作品界面交互设计
大数据思维及对社会的影响    大数据对社会发展的影响
成员运算符与表达式(python)   成员运算符
顺序结构的Python实现   顺序结构的应用
常用数据处理与分析工具— 硬件 数据处理工具
常用数据处理与分析工具—硬件  数据处理工具
图象编码及存储量计算  图像编码及存储量计算
需求分析和可行性分析  需求分析与可行性分析
程序设计语言的功能   程序设计语言的概念与功能
